Name,PPG,AST,BLK,TO,STL,REB,OREB,DREB,GP,GS,MPG,FGA,FG,FG%,3PA,3P,3P%,FTA,FT,FT%,2PA,2P,2P%,EFG%,Salary
Timofey Mozgov,6.8,0.6,0.8,1.2,0.3,4.9,1.7,3.2,454,273,18,5.1,2.7,0.535,0.1,0,0.19,1.8,1.3,0.738,4.9,2.7,0.543,0.537,16000000
Pau Gasol,17.4,3.2,1.6,2.2,0.5,9.3,2.6,6.8,1196,1144,34,13.1,6.6,0.508,0.4,0.1,0.366,5.2,4,0.754,12.7,6.5,0.512,0.513,16000000
Ian Mahinmi,5.1,0.5,0.7,1,0.6,4.3,1.5,2.8,546,92,16.6,3.6,1.9,0.541,0,0,0,2.1,1.3,0.607,3.5,1.9,0.543,0.541,15944154
Dennis Schroder,12.9,4.8,0.1,2.4,0.8,2.5,0.4,2.1,352,161,23.7,11.3,4.9,0.434,2.8,0.9,0.32,2.6,2.2,0.827,8.5,4,0.471,0.473,15500000
Clint Capela,10.6,0.8,1.4,1.1,0.7,8.1,2.7,5.4,228,168,22.6,7.3,4.6,0.629,0,0,0,2.9,1.4,0.482,7.3,4.6,0.63,0.629,15413043
DeMarre Carroll,8.9,1.3,0.3,0.8,1,4.2,1.2,3,487,331,24,7.3,3.2,0.436,3.1,1.1,0.364,1.9,1.4,0.738,4.2,2.1,0.489,0.512,15400000
Gorgui Dieng,8.3,1.5,1.1,1.3,0.9,6.7,2.1,4.6,376,185,24.5,6.3,3.2,0.506,0.3,0.1,0.328,2.3,1.8,0.785,5.9,3.1,0.517,0.515,15170787
Trevor Ariza,10.5,2.1,0.3,1.4,1.5,4.8,1,3.8,942,641,29.5,8.9,3.8,0.424,4,1.4,0.353,2.2,1.6,0.723,5,2.4,0.481,0.503,15000000
Eric Bledsoe,13.8,4.7,0.5,2.7,1.5,3.8,0.8,3,492,330,27.7,10.8,4.8,0.449,2.9,1,0.337,3.9,3.1,0.799,7.8,3.9,0.491,0.495,15000000
Ricky Rubio,10.8,7.9,0.1,2.8,2,4.3,0.7,3.6,430,410,31.3,9,3.4,0.385,2.4,0.8,0.325,3.8,3.2,0.836,6.6,2.7,0.407,0.428,14975000
Tobias Harris,14.6,1.7,0.5,1.3,0.8,5.6,1,4.6,464,344,29.6,11.9,5.6,0.467,3.2,1.1,0.355,2.9,2.4,0.812,8.7,4.4,0.508,0.515,14800000
J.R. Smith,12.6,2.1,0.2,1.4,1,3.2,0.5,2.7,960,391,27.1,10.8,4.5,0.419,5.3,2,0.374,2.1,1.5,0.732,5.5,2.5,0.464,0.512,14720000
James Johnson,8,2.1,0.9,1.5,0.8,3.6,0.9,2.8,547,186,20.7,6.6,3.2,0.481,1.5,0.4,0.299,1.8,1.2,0.694,5.1,2.7,0.534,0.515,14651700
Brandon Knight,15.2,4.3,0.2,2.7,0.9,3.3,0.6,2.8,382,320,31.3,13.2,5.5,0.415,4.6,1.6,0.357,3.3,2.6,0.812,8.6,3.8,0.445,0.476,14631250
Robin Lopez,9,0.8,1.2,1.1,0.3,5.4,2.5,3,692,544,23.2,7.1,3.8,0.527,0,0,0.2,2,1.5,0.76,7.1,3.8,0.528,0.527,14357750
Marvin Williams,10.5,1.3,0.5,1,0.8,5.3,1.2,4,939,752,28.6,8.5,3.8,0.444,2.5,0.9,0.361,2.6,2.1,0.808,6,2.9,0.48,0.498,14087500
Taj Gibson,9.7,1,1.2,1.2,0.6,6.4,2.4,4.1,667,327,26.1,8,4,0.506,0.1,0,0.157,2.3,1.6,0.703,7.9,4,0.511,0.507,14000000
Thaddeus Young,13.4,1.6,0.4,1.4,1.5,5.9,2,3.9,820,590,30.7,11.6,5.8,0.499,1.3,0.4,0.326,2.1,1.4,0.675,10.3,5.4,0.521,0.517,13764045
Kenneth Faried,11.4,1,0.8,1.3,0.8,8.2,3.1,5.1,441,372,24.9,8.5,4.6,0.543,0,0,0.1,3.4,2.2,0.655,8.4,4.6,0.546,0.544,13764045
Tyson Chandler,8.6,0.9,1.2,1.5,0.6,9.4,3.2,6.2,1079,875,28.3,5.4,3.2,0.596,0,0,0,3.4,2.2,0.646,5.4,3.2,0.597,0.596,13585000
Marcin Gortat,10.2,1.1,1.1,1.2,0.5,8.1,2.2,5.9,759,544,26.3,7.9,4.4,0.552,0,0,0.15,2.2,1.5,0.678,7.9,4.3,0.553,0.552,13565218
Cody Zeller,7.9,1.3,0.7,1,0.7,5.6,1.8,3.8,312,166,22.5,5.8,2.9,0.504,0.1,0,0.25,2.8,2.1,0.732,5.8,2.9,0.506,0.505,13528090
Eric Gordon,16.7,3.1,0.3,2.1,1,2.5,0.4,2.1,561,443,33.2,13.2,5.7,0.43,5.9,2.2,0.376,3.9,3.2,0.816,7.3,3.5,0.474,0.514,13500375
Joe Ingles,7,2.8,0.1,1.3,1,2.9,0.3,2.6,324,141,23,5.6,2.5,0.447,3.6,1.5,0.416,0.6,0.5,0.761,2,1,0.501,0.579,13045455
Khris Middleton,15.1,3,0.2,1.8,1.4,4.1,0.6,3.6,378,306,31.8,12.2,5.5,0.454,3.9,1.5,0.391,2.9,2.5,0.877,8.3,4,0.484,0.517,13000000
Michael Kidd-Gilchrist,9.1,1.2,0.7,1,0.7,5.9,1.7,4.2,357,353,26.7,7.5,3.6,0.477,0.1,0,0.194,2.7,1.9,0.707,7.4,3.6,0.481,0.478,13000000
Mason Plumlee,8.6,2,1,1.5,0.8,6.3,2,4.3,389,239,22.3,5.9,3.3,0.566,0,0,0,3.4,1.9,0.565,5.9,3.3,0.57,0.566,12917808
Wilson Chandler,13.5,1.8,0.6,1.4,0.7,5.4,1.2,4.2,590,447,31.1,11.7,5.2,0.445,3.9,1.3,0.341,2.2,1.7,0.769,7.9,3.9,0.496,0.501,12800562
Solomon Hill,6.2,1.6,0.2,1,0.7,3.3,0.7,2.6,261,153,23.1,5.4,2.1,0.396,2.3,0.8,0.331,1.4,1.2,0.816,3.1,1.4,0.445,0.466,12752928
Nikola Vucevic,14.8,2.2,0.9,1.7,0.8,9.8,2.7,7.1,456,395,29.8,13.2,6.6,0.499,0.7,0.2,0.308,2,1.5,0.729,12.5,6.4,0.509,0.506,12750000
Austin Rivers,9.4,2.4,0.2,1.2,0.7,2,0.3,1.7,408,130,24.3,8.4,3.5,0.419,2.8,1,0.355,2.1,1.4,0.649,5.5,2.5,0.452,0.479,12650000
Jeremy Lin,12,4.5,0.4,2.4,1.2,2.9,0.4,2.4,406,217,26.6,9.4,4.1,0.433,2.8,1,0.35,3.6,2.9,0.805,6.6,3.1,0.467,0.484,12516746
Jordan Clarkson,14.1,2.8,0.1,1.7,0.9,3.2,0.8,2.4,301,138,27.6,12.4,5.5,0.443,3.7,1.3,0.339,2.4,1.9,0.807,8.7,4.2,0.488,0.494,12500000
Miles Plumlee,4.9,0.5,0.8,0.9,0.4,4.6,1.6,3,328,168,16.7,4.1,2.2,0.537,0,0,0,1,0.6,0.544,4.1,2.2,0.537,0.537,12500000
J.J. Redick,12.4,2,0.1,1.1,0.5,2,0.2,1.8,760,389,25.4,9.3,4.2,0.449,4.6,1.9,0.415,2.4,2.1,0.89,4.6,2.2,0.482,0.553,12500000
Nikola Mirotic,11.8,1.3,0.7,1.2,0.8,5.7,0.9,4.8,273,70,23.7,9.3,3.9,0.419,5.1,1.8,0.357,2.7,2.1,0.801,4.2,2.1,0.494,0.517,12500000
Courtney Lee,10,1.7,0.3,1,1,2.7,0.5,2.2,753,503,28.1,8.4,3.8,0.451,2.9,1.1,0.389,1.5,1.3,0.856,5.6,2.7,0.483,0.517,12253780
Jusuf Nurkic,10.4,1.5,1.2,2,0.8,7.3,2.2,5,238,157,21.6,8.9,4.3,0.485,0.1,0,0,3,1.8,0.612,8.8,4.3,0.488,0.485,12000000
Will Barton,10.4,2.3,0.4,1.3,0.7,3.9,0.7,3.2,395,65,22.8,8.8,3.8,0.434,2.9,1,0.341,2.2,1.7,0.79,5.9,2.8,0.481,0.491,12000000
Kentavious Caldwell-Pope,12,1.7,0.2,1.1,1.2,3.4,0.7,2.7,388,348,30.8,10.6,4.3,0.409,4.8,1.6,0.345,2.1,1.7,0.786,5.8,2.7,0.462,0.487,12000000
Avery Bradley,12.3,1.7,0.2,1.5,1.1,3,0.6,2.4,459,386,28.4,11.3,5,0.439,3.5,1.3,0.366,1.4,1.1,0.772,7.8,3.7,0.472,0.496,12000000
